node,build_smr,build_electrolyzer,transportationFuel_tonnesperday,industrialFuel_tonnesperday,existing_tonnesperday
brazoria,1,1,0,0,538
freeport,1,1,0,0,538
chocolateBay,1,1,0,0,538
texasCity,1,1,0,0,538
laPorte,1,1,0,0,538
sanJacinto,1,1,0,0,538
deerPark,1,1,0,0,538
pasadena,1,1,50,0,538
channelview,1,1,0,0,538
montBelvieu,1,1,0,0,538
baytown,1,1,0,0,538
portArthur,1,1,0,0,538
medicalCenter,0,0,0,0,0
beaumont,1,1,0,0,538
orange,1,1,500,0,538
elPaso,0,1,500,0,0
vanHorn,0,1,500,0,0
sonora,0,1,500,0,0
midland,0,1,500,0,0
abilene,0,1,500,0,0
texarkana,0,1,500,0,0
waco,0,1,500,0,0
centerville,0,1,500,0,0
corpusChristi,0,1,500,0,0
mcallen,0,1,500,0,0
laredo,0,1,500,0,0
houston,0,1,500,0,0
sanAntonio,0,1,500,0,0
austin,0,1,500,0,0
dallas,0,1,500,0,0