node,build_smr,build_electrolyzer,transportationFuel_tonnesperday,industrialFuel_tonnesperday,existing_tonnesperday,major,minor
brazoria,1,1,0,0,538,0,0
freeport,1,1,0,0,538,0,1
chocolateBay,1,1,0,0,538,0,1
texasCity,1,1,0,0,538,0,1
laPorte,1,1,0,0,538,0,1
sanJacinto,1,1,0,0,538,0,1
deerPark,1,1,0,0,538,0,1
pasadena,1,1,50,0,538,0,1
channelview,1,1,0,0,538,0,1
montBelvieu,1,1,0,0,538,0,1
baytown,1,1,0,0,538,0,1
portArthur,1,1,0,0,538,0,1
medicalCenter,0,0,0,0,0,0,1
beaumont,1,1,0,0,538,0,0
orange,1,1,0,0,538,0,1
elPaso,0,0,0,0,0,0,0
vanHorn,0,0,0,0,0,0,0
sonora,0,0,0,0,0,0,0
midland,0,0,0,0,0,0,0
abilene,0,0,0,0,0,0,0
texarkana,0,0,0,0,0,0,0
waco,0,0,50,0,0,0,0
centerville,0,0,20,0,0,0,0
corpusChristi,0,0,0,0,0,0,0
mcallen,0,0,0,0,0,0,0
laredo,0,0,0,0,0,0,0
houston,0,0,0,0,0,1,0
sanAntonio,0,0,100,0,0,1,0
austin,0,0,60,0,0,1,0
dallas,0,0,110,0,0,1,0