hub,build_smr,build_electrolyzer,transportationFuel_tonnesperday,transportationFuel_carbonSensitive_tonnesperday,industrialFuel_tonnesperday,existing_tonnesperday,ng_usd_per_mmbtu,e_usd_per_kwh,capital_pm
brazoria,1,1,0,0,0,538,4.155303773,0.046236011,0.914163499
freeport,1,1,0,0,0,538,4.155303773,0.046236011,0.914163499
pearland,1,0,20,0,0,0,4.155303773,0.046236011,0.914163499
chocolateBay,1,1,20,0,0,538,4.22252699,0.041660254,0.91308298
texasCity,1,1,0,0,0,538,4.143461432,0.046236011,0.913578331
leagueCity,1,0,0,125,0,0,4.143461432,0.046236011,0.913578331
laPorte,1,1,0,0,0,538,4.140460697,0.046236011,0.914349379
deerPark,1,1,0,0,0,538,4.140460697,0.046236011,0.914349379
pasadena,1,1,24,12.5,0,538,4.140460697,0.046236011,0.914349379
channelview,1,1,0,0,0,538,4.140460697,0.046236011,0.914349379
baytown,1,1,0,0,0,538,4.140460697,0.046236011,0.914349379
houston,1,0,359,125,0,0,4.140460697,0.046236011,0.914349379
sanJacinto,1,1,0,0,0,538,4.159892325,0.043632017,0.916951128
montBelvieu,1,1,0,0,0,538,4.161970633,0.046236011,0.914021937
portArthur,1,1,0,0,0,538,4.188542715,0.046236011,0.91437932
beaumont,1,1,0,0,0,538,4.188542715,0.046236011,0.91437932
medicalCenter,1,0,0,0,0,0,4.064589996,0.043632017,0.934919552
orange,1,1,0,125,0,538,4.192498119,0.046236011,0.914948143
elPaso,1,1,105,125,0,0,4.656782291,0.055,0.971240332
vanHorn,1,0,0,125,0,0,4.435595592,0.038959813,0.955274908
sonora,1,0,0,125,0,0,4.199531735,0.038959813,0.92806014
midland,1,0,22,125,0,0,4.241608162,0.038959813,0.940270121
abilene,1,0,19,125,0,0,4.053912074,0.038959813,0.933288381
texarkana,1,0,0,125,0,0,4.351826731,0.043632017,0.931947656
waco,1,0,21,125,0,0,4.021041851,0.043632017,0.926566559
centerville,1,0,0,125,0,0,4.125553244,0.043632017,0.921887964
corpusChristi,1,0,51,125,0,0,4.267615799,0.041660254,0.913559979
mcallen,1,0,22,125,0,0,4.282127991,0.041660254,0.911220159
laredo,1,0,40,0,0,0,4.304449221,0.041660254,0.913499032
sanAntonio,1,0,397,125,0,0,4.266970286,0.043860413,0.919241878
austin,1,1,354,125,0,0,4.182516115,0.043290426,0.921993104
dallas,1,0,589,125,0,0,4.049164359,0.043632017,0.932665854
amarillo,1,0,31,125,0,0,4.150219349,0.038959813,0.946982956
brownsville,1,0,28,0,0,0,4.271289896,0.041660254,0.910581758
collegeStation,1,0,0,0,0,0,4.128985647,0.043632017,0.918438632
fortWorth,1,0,589,0,0,0,4.003925592,0.043632017,0.932980206
killeen,1,0,23,0,0,0,4.073876451,0.041660254,0.924616394
lubbock,1,0,40,0,0,0,4.15654518,0.038959813,0.939822512
odessa,1,0,19,0,0,0,4.281039576,0.038959813,0.941398556
sanAngelo,1,0,0,0,0,0,4.159230042,0.038959813,0.930834353
sugarLand,1,0,18,0,0,0,4.154043616,0.046236011,0.914640102
theWoodlands,1,0,0,0,0,0,4.143841691,0.046236011,0.916361484
tyler,1,0,0,0,0,0,4.150365337,0.043632017,0.926886126
wichitaFalls,1,0,0,0,0,0,4.118744245,0.038959813,0.938876459